"secnum","order","section","tnc","eng","audio"
1,1,"Common Expressions","Ąą.","Yes.",
1,2,"Common Expressions","E̋na'.","No.",
1,3,"Common Expressions","Těyy'. Těyy' u'in<u>s</u>i'.","Again. Say it again.",
1,4,"Common Expressions","K'ôd.","Enough. That's all!",
1,5,"Common Expressions","Shaa n<u>s</u>ų́ų.","It's good. I like it.",
1,6,"Common Expressions","Ná'.","Here. Take it.",
1,7,"Common Expressions","Nde'. Ndé', shénih.","Give it to me. Give it to me, she said.",
1,8,"Common Expressions","Ndée?","Where?",
1,9,"Common Expressions","Tsín'ęę.","Thank you.",
1,10,"Common Expressions","Xú' ch'e le'.","Like that.",
1,11,"Common Expressions","Súu' de'","Take care. Be careful.",
1,12,"Common Expressions","Êy t'ogh.","That's okay.",
1,13,"Common Expressions","Duka'.  Duka', ts'udeeł.","Okay.  Okay, let's go.",
2,1,"Exclamations","K'á xű'!","Not that way!",
2,2,"Exclamations","Tthee'!","Wait!",
2,3,"Exclamations","Dádhíinęy!","Be you quiet (one person)!",
2,4,"Exclamations","Dádháhnęy!","Be you quiet (more than one)!",
2,5,"Exclamations","Elih!","It's cold!",
2,6,"Exclamations","Elok!","It's hot!",
2,7,"Exclamations","Teejuh!","Poor thing!",
2,8,"Exclamations","Lé'e.","I don't know.",
2,9,"Exclamations","Xánteey'!","Hurry up!",
2,10,"Exclamations","K'á shi̋h!","Not me!",
3,1,"Greetings and Leave-Taking","Nts'é t'ínt'eh?","How are you?",
3,2,"Greetings and Leave-Taking","Sǒgh' t'íht'eh.","I'm fine.",
3,3,"Greetings and Leave-Taking","Ihsųų.","I'm fine.",
3,4,"Greetings and Leave-Taking","Nen dú'?","How about you?",
3,5,"Greetings and Leave-Taking","Shintah. Ihsųų.","Me too. I'm fine.",
3,6,"Greetings and Leave-Taking","Nts'é t'índę́'ę?","What are you doing?",
3,7,"Greetings and Leave-Taking","Na'eg<u>sh</u>eyh <u>sh</u>ę́ę'.","I'm just resting.",
3,8,"Greetings and Leave-Taking","Nchâay nti̋h?","Where's your grandchild?",
3,9,"Greetings and Leave-Taking","Lé'e. Wukől.","I don't know. He's not here.",
3,10,"Greetings and Leave-Taking","K'ahdâandé' nantneg'íił.","See you tomorrow.",
4,1,"Common Requests","Jâan nanděeg' <u>sh</u>íi nts'é xíyu<u>s</u>iix?","What do they call this in your language?",
4,2,"Common Requests","K'á ndíhtthe̋g.","I didn't hear you. (I don't understand you.)",
4,3,"Common Requests","Těyy' xú' dínii.","Say it again.",
4,4,"Common Requests","Xáxúh xnínheyh.","Speak slowly.",
4,5,"Common Requests","Dánínhaay.","Come in.",
4,6,"Common Requests","Nats'utdeeł.","Let's go back.",
4,7,"Common Requests","Niłdátníntiiyh.","Close the door.",
4,8,"Common Requests","Niłdátníntąą.","It's closed.",
5,1,"Common Questions &amp; Answers","Nts'é t'índę́'ę?","What are you doing?",
5,2,"Common Questions &amp; Answers","Nts'é t'áhdę́'ę?","What are you all doing?",
5,3,"Common Questions &amp; Answers","Nach'ih'áał.","I'm eating.",
5,4,"Common Questions &amp; Answers","Nách'énihtl'ú'.","I'm sewing.",
5,5,"Common Questions &amp; Answers","Tách'údeg<u>s</u>í'.","I'm reading.",
5,6,"Common Questions &amp; Answers","Nts'é łâan tsuudę́'ę?","What shall we do?",
5,7,"Common Questions &amp; Answers","Ndée ts'į́' ghínhaał?","Where are you going?",
5,8,"Common Questions &amp; Answers","Ndée ts'į́' ghahdeł?","Where are you all going?",
5,9,"Common Questions &amp; Answers","Xaxdeldiix <u>sh</u>ax ts'į́' ghíhhaał.","I'm going to school.",
5,10,"Common Questions &amp; Answers","Xaxdeldiix <u>sh</u>ax ts'į́' ts'aadéł.","We're going to school.",
5,11,"Common Questions &amp; Answers","Ch'utkéet <u>sh</u>ax ts'į́' ghíhhaał.","I'm going to the store.",
5,12,"Common Questions &amp; Answers","Ch'utkéet <u>sh</u>ax ts'į́' ts'aadéł.","We're going to the store.",
5,13,"Common Questions &amp; Answers","Tâatihdaał.","I'm going home.",
5,14,"Common Questions &amp; Answers","Tâatsutdeeł.","Let's go home.",
5,15,"Common Questions &amp; Answers","Díi łâan natsuu'aal?","What shall we eat?",
5,16,"Common Questions &amp; Answers","Shí' gęyh.","Dry meat.",
5,17,"Common Questions &amp; Answers","Łéets éet'eey.","Frybread.",
5,18,"Common Questions &amp; Answers","Má'.","Dry fish.",
5,19,"Common Questions &amp; Answers","Díi naghuh'áał eynín<u>th</u>en?","What do you want to eat?",
5,20,"Common Questions &amp; Answers","Díi naghuh'áał eynáhthen?","What do you all want to eat?",
5,21,"Common Questions &amp; Answers","Kón' nti̋h?","Where are the matches?",
5,22,"Common Questions &amp; Answers","Jah ch'e.","Here they are.",
5,23,"Common Questions &amp; Answers","Naa ch'e kón'.","There are the matches.",
6,1,"Personal Conditions and Feelings","Dintsįį?","Are you hungry?",
6,2,"Personal Conditions and Feelings","Ąą, dihtsįį.","Yes, I'm hungry.",
6,3,"Personal Conditions and Feelings","K'á díhtsi̋in.","I'm not hungry.",
6,4,"Personal Conditions and Feelings","Tuu ndéhtląą?","Are you thirsty?",
6,5,"Personal Conditions and Feelings","Ąą, tuu shdéhtląą.","Yes, I'm thirsty.",
6,6,"Personal Conditions and Feelings","K'á tuu shdíhtla̋ay.","I'm not thirsty.",
6,7,"Personal Conditions and Feelings","Teghitdek?","Are you tired?",
6,8,"Personal Conditions and Feelings","Ąą, teghishdek.","Yes, I'm tired.",
6,9,"Personal Conditions and Feelings","K'á te'íshde̋g.","I'm not tired.",
6,10,"Personal Conditions and Feelings","Dhįhts'iik?","Are you sick?",
6,11,"Personal Conditions and Feelings","Ąą, dhekts'iik.","Yes, I'm sick.",
6,12,"Personal Conditions and Feelings","K'á ékts'i̋ig.","I'm not sick.",
6,13,"Personal Conditions and Feelings","Ntthí' ehts'iik?","Do you have a headache?",
6,14,"Personal Conditions and Feelings","Shtthí' ehts'iik.","I have a headache.",
6,15,"Personal Conditions and Feelings","Koth t'ini<u>sh</u>aak?","Do you have a cold?",
6,16,"Personal Conditions and Feelings","Koth t'ishi<u>sh</u>aak.","I have a cold.",
6,17,"Personal Conditions and Feelings","N<u>sh</u>íi xuhts'íik?","Do you have a stomach ache?",
6,18,"Personal Conditions and Feelings","Sh<u>sh</u>íi xúhts'iik.","I have a stomach ache.",
6,19,"Personal Conditions and Feelings","Na'is<u>s</u>ųų.","I am improved.",
7,1,"Names and General Conversation","Nts'é nuu<u>s</u>í'?","What is your name?",
7,2,"Names and General Conversation","Irene shuu<u>s</u>i'.","My name is Irene.",
7,3,"Names and General Conversation","Ndée xt'een inłęę.?","Where are you from?",
7,4,"Names and General Conversation","Tats'altęy xt'een ihłęę.","I'm from Tanacross.",
7,5,"Names and General Conversation","Nnąą iin dóo ch'e xghint'eey?","Who were your parents?",
7,6,"Names and General Conversation","Shtá' Silas mighin<u>s</u>í'.","My father's name was Silas.",
7,7,"Names and General Conversation","Shnąą Stella mighin<u>s</u>í'.","My mother's name was Stella.",
7,8,"Names and General Conversation","Nnąą iin ndée xt'een xghin<u>ł</u>e'?","Where were you parents from originally?",
7,9,"Names and General Conversation","Shtá' Saages Cheeg' xt'een ghin<u>ł</u>é'.","My father was from Kechumstock.",
7,10,"Names and General Conversation","Shnąą Dihthâad xt'een ghin<u>ł</u>é'.","My mother was from Mansfield.",
7,11,"Names and General Conversation","Nts'inkeey xun<u>ł</u>ę́ę?","Do you have any children?",
7,12,"Names and General Conversation","Ąą, sts'inkeey xun<u>ł</u>ęę.","Yes, I have children.",
7,13,"Names and General Conversation","K'ah dú' ndée dhíndah?","Where do you live now.",
7,14,"Names and General Conversation","Fairbanks dhihdah.","I live in Fairbanks.",
7,15,"Names and General Conversation","Shih dú', Tok dhihdah.","As for me, I live in Tok.",
7,16,"Names and General Conversation","Nts'é xuu<u>s</u>í' deh itndah?","Where do you work?",
7,17,"Names and General Conversation","Xaxdeldiix <u>sh</u>ax deh ch'e ishndaay.","I work at the school.",
7,18,"Names and General Conversation","E<u>sh</u>ég' nts'é t'índiix?","What do you do there?",
7,19,"Names and General Conversation","Dinahtl'aa k'et dendeey iin ts'į́' ch'etnihtl'íis.","I write letters to people.",
8,1,"Birthday and Birthplace","Ndúk'e n'éł xáattheł?","How old are you?",
8,2,"Birthday and Birthplace","Twenty ghihttheł.","I'm twenty years old.",
8,3,"Birthday and Birthplace","Ndée nexun<u>ł</u>ęę?","Where were you born?",
8,4,"Birthday and Birthplace","Seven mile hill t'aagh tęy k'eddh ch'e shexun<u>ł</u>een, t'ogh Tats'altęy tah xk'enish<u>th</u>et.","I was born by the trail under Seven Mile Hill, but I was raised in Tanacross.",
9,1,"Clothing","ch'êl","clothing",
9,2,"Clothing","Na'ishtl'uh.","I'm getting dressed.",
9,3,"Clothing","tthíi<u>sh</u>úus","hat",
9,4,"Clothing","Tthíi<u>sh</u>úus nádédhég'ąą.","I'm wearing a hat.",
9,5,"Clothing","eek","shirt, coat, dress",
9,6,"Clothing","Eek nádédhég<u>sh</u>ah.","I'm wearing a coat.",
9,7,"Clothing","ch'ehtlé'","pants",
9,8,"Clothing","Ch'ehtlé' <u>sh</u>íi dédheg'éetth.","I'm wearing pants.",
9,9,"Clothing","kentsįįth","moccasins, shoes",
9,10,"Clothing","Kentsįįth <u>sh</u>íi dédheg'éetth.","I'm wearing moccasins.",
9,11,"Clothing","kench'ôdl","boots",
9,12,"Clothing","teł","socks",
9,13,"Clothing","jeyh","mittens",
9,14,"Clothing","Jeyh <u>sh</u>íi dédhegdíik.","I'm wearing mittens.",
9,15,"Clothing","k'oniit'êy","handkerchief, scarf",
9,16,"Clothing","K'oniit'êy natthí'udét-tl'ųų.","She's wearing a scarf on her head.",
10,1,"Relatives and People","shehłaad'","my relatives",
10,2,"Relatives and People","nee'ehłaad'","our relatives",
10,3,"Relatives and People","shnąą","my mother",
10,4,"Relatives and People","nnąą","your mother",
10,5,"Relatives and People","wunąą","his or her mother",
10,6,"Relatives and People","shtá'","my father",
10,7,"Relatives and People","ntá'","your father",
10,8,"Relatives and People","wutá'","his or her father",
10,9,"Relatives and People","shnąą iin","my parents",
10,10,"Relatives and People","shchox iin","my parents (alternate form)",
10,11,"Relatives and People","stsêey","my grandfather",
10,12,"Relatives and People","ntsêey","your grandfather",
10,13,"Relatives and People","wutsêey","his or her grandfather",
10,14,"Relatives and People","stsųų","my grandmother",
10,15,"Relatives and People","ntsųų","your grandmother",
10,16,"Relatives and People","wutsųų","his or her grandmother",
10,17,"Relatives and People","shchaay","my (woman's) grandchild",
10,18,"Relatives and People","shtthuuy","my (man's) grandchild",
10,19,"Relatives and People","shaadeh","my older sister",
10,20,"Relatives and People","naadeh","your older sister",
10,21,"Relatives and People","maadeh","his or her older sister",
10,22,"Relatives and People","shdéedz","my younger sister",
10,23,"Relatives and People","ndéedz","your younger sister",
10,24,"Relatives and People","wudéedz","his or her younger sister",
10,25,"Relatives and People","shundaagh","my older brother",
10,26,"Relatives and People","nundaagh","your older brother",
10,27,"Relatives and People","mindaagh","his or her older brother",
10,28,"Relatives and People","shchel","my younger brother",
10,29,"Relatives and People","nchel","your younger brother",
10,30,"Relatives and People","wuchel","his or her younger brother",
10,31,"Relatives and People","shkę́y'","my husband",
10,32,"Relatives and People","nkę́y'","your husband",
10,33,"Relatives and People","wukę́y'","her husband",
10,34,"Relatives and People","sh'at","my wife",
10,35,"Relatives and People","n'at","your wife",
10,36,"Relatives and People","wu'at","his wife",
10,37,"Relatives and People","shaak'ey","my aunt (woman speaking)",
10,38,"Relatives and People","shtâay","my uncle  (woman speaking)",
10,39,"Relatives and People","stsųu","my aunt (man speaking)",
10,40,"Relatives and People","shtâay","my uncle (father's brother, man speaking)",
10,41,"Relatives and People","shee'eh","my uncle (mother's brother, man speaking)",
10,42,"Relatives and People","sh<u>x</u>eh","my brother's wife (woman speaking)",
10,43,"Relatives and People","sh<u>ł</u>enh","my sister's husband (woman speaking)",
10,44,"Relatives and People","sh<u>x</u>eh","my brother's wife (man speaking)",
10,45,"Relatives and People","sh<u>ł</u>enh","my sister's husband (man speaking)",
10,46,"Relatives and People","sh<u>sh</u>aaz","my son (woman speaking)",
10,47,"Relatives and People","shyaats'é'e","my daughter (woman speaking)",
10,48,"Relatives and People","shtthé'e","my daughter (man speaking)",
10,49,"Relatives and People","shchaay keyh","my grandchildren",
10,50,"Relatives and People","shchaay iin","my grandchildren",
10,51,"Relatives and People","sh'éł ts'enindêg iin","my siblings",
10,52,"Relatives and People","xu'ude'egken iin","relatives",
10,53,"Relatives and People","dendeh","man",
10,54,"Relatives and People","dendeey iin","men",
10,55,"Relatives and People","ts'éhxeh","woman",
10,56,"Relatives and People","ts'éhxeey iin","women",
10,57,"Relatives and People","ts'enîin","child",
10,58,"Relatives and People","ts'ínkeey iin","children",
10,59,"Relatives and People","tsiil","boy",
10,60,"Relatives and People","tsiil gaay","little boy",
10,61,"Relatives and People","t'ed","girl",
10,62,"Relatives and People","ts'éhxeh gaay","little girl",
10,63,"Relatives and People","xaskeh","chief",
10,64,"Relatives and People","Xaskeh wu'at sínt'eh.","She is the chief's wife.",
10,65,"Relatives and People","de<u>sh</u>en","medicine man",
10,66,"Relatives and People","ch'etey","old man",
10,67,"Relatives and People","ts'est'e'","old woman",
11,1,"Geography","nén'","land",
11,2,"Geography","Nén' k'et dzéltth'ih.","We live on the land.",
11,3,"Geography","menh","lake",
11,4,"Geography","Menh mâagh tęy xultsii.","A trail was made along the edge of the lake.",
11,5,"Geography","teyh","hill",
11,6,"Geography","Teyh tthíit'âag ndaaxk'ee xú'ąą.","There's a lookout place on top of the hill.",
11,7,"Geography","teth","mountain pass",
11,8,"Geography","Łuu ddheł teth tee<u>sh</u>ah.","He went over a mountain pass.",
11,9,"Geography","ddheł","mountain",
11,10,"Geography","<u>Sh</u>etth ddheł k'et xún<u>ł</u>ęę.","There's snow on the mountain.",
11,11,"Geography","tthaayh","sand",
11,12,"Geography","Menh mâagh tthaayh xo<u>ł</u>eex.","There's sand on the edge of the lake.",
11,13,"Geography","tęy","trail, road",
11,14,"Geography","Tęy ghihhaał.","I'm walking along the trail.",
11,15,"Geography","hên","creek",
11,16,"Geography","Hên tetth xtsíił tée'a'.","A bridge spanned across the creek.",
11,17,"Geography","chenh","flat, meadow",
11,18,"Geography","Chenh k'et dendîig ch'e'áał.","There's a moose eating on the flat.",
11,19,"Geography","nduu","forest",
11,20,"Geography","Ch'enę̌y' nduu <u>sh</u>íi ts'enh ts'enehtsíik.","We usually pick mushroom from the forest.",
11,21,"Geography","taanduu","island",
11,22,"Geography","Taanduu kendhah tuu denihłe'.","The river flows around the island.",
11,23,"Geography","ts'étl","brush",
11,24,"Geography","ts'étl tah","in the brush",
11,25,"Geography","ndaaxk'ée","lookout place",
11,26,"Geography","Ndaaxk'ée ts'enh ch'e nûun de'úkah xaxneh'îigh.","The lookout place is where they search for animals from.",
11,27,"Geography","kón'k'ée","campsite",
11,28,"Geography","Kónk'ée ch'e xníihôog.","They overnight at the campsite.",
12,1,"General Dialogue","Nee'anděg' <u>sh</u>íi xunhéex?","Do you speak Native language.",
12,2,"General Dialogue","Ąą, dadegdiix.","Yes, I'm learning.",
12,3,"General Dialogue","Shdé'intth'ek?","Do you understand me?",
12,4,"General Dialogue","K'á ndíhtth'e̋g.","I don't understand (or hear) you.",
12,5,"General Dialogue","Ąą, xá'xuh xnínheeyh dé'.","Yes, if you speak slowly.",
